time,length,src,dst,src_port,dst_port,protocol,ttl
1745488977.472271,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.472273,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.472275,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.472277,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.472279,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.472281,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.472283,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.472495,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.475077,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.47508,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.475082,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.475084,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.475087,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.475089,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.475091,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.475093,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.475322,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.475482,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.475485,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.475487,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.475489,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.475492,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.475634,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.47576,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.475777,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.475779,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.475781,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.475783,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.475881,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
